PLAYER INFO,,SNAKE DRAFT STATS,
Rank,Player,AVG PICK,%ROST
1,"Jahmyr Gibbs
DETRB",1.5,99.9
2,"Bijan Robinson
ATLRB",2.6,99.9
3,"Ja'Marr Chase
CINWR",4.1,99.9
4,"Puka NacuaQ
LARWR",4.7,99.9
5,"Jaxon Smith-Njigba
SEAWR",5.9,99.9
6,"Christian McCaffreyQ
SFRB",6.7,99.8
7,"Jonathan Taylor
INDRB",8,99.8
8,"Amon-Ra St. Brown
DETWR",8.4,99.9
9,"CeeDee Lamb
DALWR",10.7,99.8
10,"De'Von Achane
MIARB",12.1,99.8
11,"Justin Jefferson
MINWR",12.2,99.8
12,"James Cook III
BUFRB",12.8,99.8
13,"Saquon Barkley
PHIRB",16.2,99.7
14,"Ashton Jeanty
LVRB",17,99.6
15,"Drake London
ATLWR",18.8,99.6
16,"Jeremiyah LoveQ
ARIRB",19.2,99.2
17,"Derrick Henry
BALRB",19.7,99.7
18,"Trey McBride
ARITE",20,99.8
19,"Josh Allen
BUFQB",22.1,99.9
20,"Rashee Rice
KCWR",22.3,99.2
21,"Kenneth Walker III
KCRB",23.2,99.3
22,"Chase Brown
CINRB",23.8,98.9
23,"Brock Bowers
LVTE",24,99.8
24,"A.J. Brown
NEWR",27.2,99.4
25,"Nico Collins
HOUWR",27.6,99.4
26,"Omarion Hampton
LACRB",28.1,99
27,"George Pickens
DALWR",29.7,99.6
28,"Breece HallQ
NYJRB",31.4,98.2
29,"Chris Olave
NOWR",34.5,98.5
30,"Josh JacobsQ
GBRB",34.6,98.9
31,"Malik NabersQ
NYGWR",35.9,98.3
32,"Garrett Wilson
NYJWR",36.2,98.2
33,"Javonte Williams
DALRB",37.8,97.8
34,"Lamar Jackson
BALQB",38.7,99.6
35,"DeVonta SmithQ
PHIWR",39.6,98.6
36,"Zay Flowers
BALWR",42,98
37,"Tetairoa McMillan
CARWR",42.5,97.9
38,"Kyren Williams
LARRB",43.2,97.4
39,"Cam Skattebo
NYGRB",43.6,98
40,"Colston Loveland
CHITE",45.3,99.2
41,"Emeka EgbukaQ
TBWR",45.3,97.2
42,"Drake Maye
NEQB",47.3,99
43,"Davante Adams
LARWR",47.4,97.8
44,"Tyler WarrenQ
INDTE",47.5,99
45,"Travis Etienne Jr.
NORB",47.8,96
46,"Jayden Daniels
WSHQB",50.8,98.5
47,"Jalen Hurts
PHIQB",52.2,97.4
48,"Ladd McConkey
LACWR",52.6,95.6
49,"Quinshon JudkinsQ
CLERB",54.7,94.5
50,"Bucky Irving
TBRB",55.9,94.6
51,"Tee Higgins
CINWR",57.8,95.4
52,"Joe Burrow
CINQB",60,96.2
53,"Jaylen Waddle
DENWR",60.2,94.3
54,"Terry McLaurin
WSHWR",61.8,93.9
55,"Sam LaPortaQ
DETTE",65.7,94.6
56,"Kyle Pitts Sr.
ATLTE",65.8,95.1
57,"DJ Moore
BUFWR",66.8,91.9
58,"Jameson Williams
DETWR",68.6,93
59,"D'Andre Swift
CHIRB",68.9,91
60,"Rome Odunze
CHIWR",68.9,91.7
61,"David Montgomery
HOURB",74.2,90.4
62,"Carnell TateQ
TENWR",75,92
63,"Jaxson Dart
NYGQB",76.4,92.8
64,"Bhayshul Tuten
JAXRB",76.9,88.4
65,"Harold Fannin Jr.
CLETE",77,92
