Season,Rank,Player,TACKLE,ASSIST,SACK,TFL,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
2025,1,Kam Curl (LAR),79,43,2,2,5,2,1,0,0,17,185.7,10.9,43.90%
2025,2,Nick Cross (IND),72,48,2.5,5,5,1,1,0,0,17,183.5,10.8,48.70%
2025,3,Tre'von Moehrig (CAR),65,38,3,14,2,1,0,0,0,16,181.4,11.3,31.40%
2025,4,Kamari Lassiter (HOU),62,29,0,7,17,4,0,0,0,16,178.2,11.1,31.60%
2025,5,Tykee Smith (TB),61,39,2,6,13,1,0,2,0,16,176.6,11,42.70%
2025,6,Nahshon Wright (CHI),54,26,0,3,11,5,2,3,1,17,176,10.4,3.70%
2025,7,Talanoa Hufanga (DEN),67,39,2,6,11,0,1,0,0,17,173.8,10.2,37.70%
2025,8,Kevin Byard III (CHI),61,32,0,4,8,7,0,0,0,17,172.8,10.2,30.50%
2025,9,Jordan Battle (CIN),59,53,0,2,6,4,2,0,0,17,170.7,10,22.50%
2025,10,Geno Stone (CIN),65,39,2,4,4,2,0,0,1,17,167.1,9.8,12.10%
2025,11,Kyle Hamilton (BAL),59,46,1,7,9,0,2,0,0,16,166.4,10.4,73.40%
2025,12,Chamarri Conner (KC),68,39,2,4,2,1,2,0,0,17,165.6,9.7,38.10%
2025,13,Budda Baker (ARI),57,63,0.5,4,5,1,0,1,0,16,161.7,10.1,45.70%
2025,14,Derwin James Jr. (LAC),50,44,2,6,7,3,1,0,0,16,160.8,10.1,58.00%
2025,15,Mike Jackson Sr. (CAR),54,14,0,4,19,4,1,0,1,17,160.4,9.4,7.10%
2025,16,Alontae Taylor (NO),59,24,2,7,11,2,0,0,0,17,158.9,9.3,17.30%
2025,17,Xavier Watts (ATL),58,34,0,0,11,5,0,1,0,17,158.5,9.3,25.90%
2025,18,Tyson Campbell (CLE),54,32,0,2,18,1,2,0,1,17,156.4,9.2,13.40%
2025,19,Dane Belton (NYG),53,47,2,3,5,1,3,0,0,17,155.1,9.1,15.40%
2025,20,Jeremy Chinn (LV),63,50,1,3,2,0,2,0,0,15,154.9,10.3,30.40%
2025,21,Nick Emmanwori (SEA),56,25,2.5,8,11,1,0,0,0,14,154.7,11.1,51.50%
2025,22,Cooper DeJean (PHI),58,27,0,4,15,2,1,0,0,16,154.1,9.6,43.50%
2025,23,Marlon Humphrey (BAL),53,15,1,3,13,4,2,1,0,15,154,10.3,10.60%
2025,24,Antoine Winfield Jr. (TB),53,40,1,4,8,2,1,1,0,17,153.9,9.1,22.30%
2025,25,Marcus Jones (NE),47,18,2,8,11,3,0,1,1,17,153.8,9,32.70%
2025,26,Dee Alford (ATL),53,11,2,6,13,3,1,1,0,15,153.5,10.2,2.20%
2025,27,Jessie Bates III (ATL),57,41,0,1,6,3,1,0,1,17,153.2,9,22.90%
2025,28,Cam Bynum (IND),50,31,1,3,8,4,1,1,0,17,150.2,8.8,7.50%
2025,29,Kool-Aid McKinstry (NO),59,17,0,3,17,3,0,0,0,17,149.5,8.8,6.50%
2025,30,Riley Moss (DEN),57,23,1,3,19,1,0,0,0,17,148.3,8.7,5.10%
2025,31,Xavier McKinney (GB),51,51,1,0,10,2,1,0,0,16,148.1,9.3,29.50%
2025,32,Cole Bishop (BUF),53,32,2,4,7,3,0,0,0,17,147.5,8.7,13.70%
2025,33,Jalen Ramsey (PIT),53,35,3,4,8,1,0,0,0,17,145,8.5,8.80%
2025,34,Nick Scott (CAR),63,46,0,0,3,1,0,1,0,17,142.9,8.4,6.70%
2025,35,Nate Wiggins (BAL),57,19,0,2,14,3,0,0,0,17,141.1,8.3,7.70%
2025,36,Keisean Nixon (GB),58,14,0,3,17,1,0,1,0,17,139.8,8.2,8.80%
2025,37,Grant Delpit (CLE),45,35,3,4,4,1,1,2,0,17,139.1,8.2,11.00%
2025,38,Evan Williams (GB),47,42,0,4,5,3,0,1,0,16,138.7,8.7,5.00%
2025,38,Dru Phillips (NYG),49,17,0,8,12,2,0,1,0,17,138.7,8.2,1.90%
2025,40,Ja'Quan McMillian (DEN),40,16,4,5,9,2,2,0,1,17,138.5,8.1,2.60%
2025,41,Alohi Gilman (BAL),49,40,0,1,9,0,1,2,1,17,138,8.1,7.00%
2025,42,Minkah Fitzpatrick (MIA),56,18,1,4,6,1,1,2,0,14,137.9,9.9,11.80%
2025,43,Jaylinn Hawkins (NE),44,27,1.5,3,6,4,1,1,0,15,137.2,9.1,2.10%
2025,44,Brian Branch (DET),48,27,2.5,5,9,0,1,1,0,12,136.6,11.4,34.00%
2025,45,Jalen Thompson (ARI),58,36,1,2,6,0,1,0,0,15,136.3,9.1,10.80%
2025,46,Jacob Parrish (TB),46,22,2,7,7,2,0,1,0,17,135.8,8,2.20%
2025,47,Ronnie Hickman Jr. (CLE),49,51,0,1,7,2,0,0,0,17,135,7.9,4.10%
2025,48,Isaiah Pola-Mao (LV),56,35,0,3,4,2,0,0,0,17,134.1,7.9,16.90%
2025,49,Jalen Pitre (HOU),43,31,0,3,12,4,0,0,0,14,133.7,9.6,23.30%
2025,50,Mike Sainristil (WAS),46,31,0,1,12,4,0,0,0,17,133.3,7.8,6.20%
2024,1,Budda Baker (ARI),95,69,2,10,5,0,1,0,0,17,239.1,14.1,45.70%
2024,2,Nick Cross (IND),86,59,1,6,5,3,1,0,0,17,219.2,12.9,48.70%
2024,3,Brian Branch (DET),79,30,1,8,16,4,1,0,0,16,213.4,13.3,34.00%
2024,4,Kevin Byard III (CHI),80,50,2,5,7,1,1,2,0,17,205.9,12.1,30.50%
2024,5,Jessie Bates III (ATL),62,40,1,2,10,4,4,1,1,17,193.4,11.4,22.90%
2024,6,Julian Love (SEA),76,30,0,3,12,3,2,1,0,17,189.4,11.1,32.70%
