Season,Rank,Player,TGT,TGT %,REC,YDS,Y/R,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
2025,1,Trey McBride (ARI),169,27.5,126,"1,239",9.8,12,11,0,0,0,0,17,189.9,11.2,99.40%
2025,2,Dallas Goedert (PHI),82,17.6,60,591,9.9,7,11,0,0,0,0,15,125.1,8.3,84.40%
2025,3,Kyle Pitts Sr. (ATL),118,22.8,88,928,10.5,12,5,0,0,0,0,17,122.8,7.2,95.40%
2025,4,Hunter Henry (NE),87,17.8,60,768,12.8,11,7,0,0,0,0,17,118.8,7,64.50%
2025,5,Travis Kelce (KC),108,19.7,76,851,11.2,9,5,1,1,0,0,17,117.2,6.9,89.50%
2025,6,Harold Fannin Jr. (CLE),107,20.8,72,731,10.2,8,6,7,13,1,1,16,114.4,7.2,94.30%
2025,7,Tyler Warren (IND),112,20.9,76,817,10.8,10,4,6,8,1,0,17,112.5,6.6,98.70%
2025,8,Brock Bowers (LV),86,17.2,64,680,10.6,8,7,2,2,0,0,12,112.2,9.4,99.60%
2025,9,Colston Loveland (CHI),82,15.5,58,713,12.3,10,6,1,-2,0,0,16,107.1,6.7,99.30%
2025,10,Jake Ferguson (DAL),102,17.1,82,600,7.3,2,8,1,1,0,2,17,106.1,6.2,84.50%
2025,11,George Kittle (SF),69,12.5,57,628,11,9,7,1,-3,0,0,11,104.5,9.5,89.30%
2025,12,Juwan Johnson (NO),102,18,77,889,11.5,11,3,0,0,0,2,17,102.9,6.1,42.80%
2024,1,George Kittle (SF),94,18.7,78,"1,106",14.2,21,8,0,0,0,0,15,158.6,10.6,89.30%
2024,2,Brock Bowers (LV),153,25.9,112,"1,194",10.7,15,5,5,13,0,0,17,150.7,8.9,99.60%
2024,3,Trey McBride (ARI),147,28.1,111,"1,146",10.3,10,2,1,2,1,0,16,138.8,8.7,99.40%
2024,4,Jonnu Smith (MIA),111,19.5,88,884,10,4,8,2,-1,0,1,17,134.3,7.9,1.60%
2024,5,Mark Andrews (BAL),69,15,55,673,12.2,6,11,4,5,0,0,17,133.8,7.9,80.90%
2024,6,Sam LaPorta (DET),83,16.1,60,726,12.1,11,7,0,0,0,0,16,114.6,7.2,95.50%
2024,7,Tucker Kraft (GB),70,14.9,50,707,14.1,11,7,3,6,0,1,17,113.3,6.7,92.70%
2024,8,Zach Ertz (WAS),91,18.2,66,654,9.9,7,7,0,0,0,0,17,111.4,6.6,0.80%
2024,9,Pat Freiermuth (PIT),78,17.2,65,653,10,7,7,0,0,0,2,17,103.3,6.1,12.80%
2024,10,Travis Kelce (KC),133,23.4,97,823,8.5,9,3,1,1,0,1,16,98.4,6.1,89.50%
2024,11,David Njoku (CLE),97,15.4,64,505,7.9,4,5,0,0,0,0,11,84.5,7.7,15.30%
2024,12,Kyle Pitts Sr. (ATL),74,13.8,47,602,12.8,7,4,0,0,0,0,17,84.2,5,95.40%
2023,1,Sam LaPorta (DET),120,21.2,86,889,10.3,8,10,1,4,0,0,17,153.3,9,95.50%
2023,2,George Kittle (SF),90,18.9,65,"1,020",15.7,18,6,1,2,0,0,16,138.2,8.6,89.30%
2023,3,Travis Kelce (KC),121,20.3,93,984,10.6,12,5,0,0,0,1,15,126.4,8.4,89.50%
2023,4,T.J. Hockenson (MIN),127,21.1,95,960,10.1,13,5,0,0,0,1,15,124,8.3,49.50%
2023,5,David Njoku (CLE),123,20.5,81,882,10.9,12,6,0,0,0,2,16,120.2,7.5,15.30%
2023,6,Evan Engram (JAC),143,23.6,114,963,8.4,9,4,0,0,0,2,17,116.3,6.8,7.90%
2023,7,Taysom Hill (NO),40,7,33,291,8.8,2,2,81,401,4,1,16,110.5,6.9,0.70%
2023,8,Cole Kmet (CHI),90,18.9,73,719,9.8,9,6,3,2,0,0,17,108.1,6.4,4.10%
