Rank,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST
1,Seattle Seahawks (SEA),47,18,7,7,3,0,4,17,179,10.5,96.40%
2,Houston Texans (HOU),47,19,10,12,4,0,0,17,164,9.6,97.50%
3,Jacksonville Jaguars (JAC),32,22,9,9,2,1,2,17,144,8.5,68.50%
4,Denver Broncos (DEN),68,10,4,7,1,0,1,17,143,8.4,96.20%
5,Minnesota Vikings (MIN),49,8,13,16,2,0,0,17,136,8,62.80%
5,Los Angeles Rams (LAR),47,16,9,12,1,0,1,17,136,8,86.90%
7,Philadelphia Eagles (PHI),42,12,9,12,1,0,2,17,135,7.9,85.00%
8,Cleveland Browns (CLE),53,11,7,14,4,0,0,17,133,7.8,20.80%
9,Pittsburgh Steelers (PIT),48,15,12,16,3,1,0,17,130,7.6,67.20%
10,New England Patriots (NE),35,10,9,9,2,1,3,17,127,7.5,82.60%
11,Atlanta Falcons (ATL),57,16,7,12,1,0,0,17,122,7.2,10.10%
12,New Orleans Saints (NO),45,10,10,12,3,0,0,17,118,6.9,18.20%
13,Chicago Bears (CHI),35,23,10,11,2,0,0,17,115,6.8,13.30%
14,Los Angeles Chargers (LAC),45,19,4,9,0,1,0,17,111,6.5,44.60%
15,Buffalo Bills (BUF),36,13,7,12,2,0,1,17,110,6.5,30.10%
16,Carolina Panthers (CAR),30,15,6,7,2,0,0,17,103,6.1,3.70%
17,Indianapolis Colts (IND),39,14,7,9,1,0,0,17,99,5.8,15.90%
17,Tampa Bay Buccaneers (TB),37,13,10,12,2,1,0,17,99,5.8,15.10%
19,Baltimore Ravens (BAL),30,11,9,11,2,0,0,17,97,5.7,55.30%
19,Detroit Lions (DET),49,13,6,15,0,1,1,17,97,5.7,59.10%
21,Miami Dolphins (MIA),39,9,11,10,0,0,1,17,95,5.6,6.60%
22,Kansas City Chiefs (KC),35,10,4,6,0,0,0,17,92,5.4,22.00%
23,Tennessee Titans (TEN),42,6,8,7,2,1,2,17,87,5.1,8.90%
24,Cincinnati Bengals (CIN),35,13,7,11,1,0,1,17,79,4.6,3.00%
24,Green Bay Packers (GB),36,7,7,7,0,0,0,17,79,4.6,29.60%
26,San Francisco 49ers (SF),20,6,10,10,1,0,0,17,78,4.6,18.00%
27,Arizona Cardinals (ARI),30,10,9,11,2,1,0,17,77,4.5,3.40%
27,New York Giants (NYG),39,9,6,10,1,0,1,17,77,4.5,17.90%
29,Washington Commanders (WAS),42,8,2,9,0,1,2,17,76,4.5,7.10%
30,Las Vegas Raiders (LV),37,8,8,10,0,1,0,17,75,4.4,7.10%
31,Dallas Cowboys (DAL),35,6,6,10,1,1,1,17,59,3.5,20.30%
32,New York Jets (NYJ),26,0,4,8,0,1,4,17,47,2.8,4.90%
