Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST
1,Jason Myers (SEA),41,48,85.4,57,0,5,14,13,9,48,48,17,202,11.9,95.30%
2,Ka'imi Fairbairn (HOU),44,48,91.7,57,0,8,11,16,9,28,28,15,194,12.9,91.50%
3,Brandon Aubrey (DAL),36,42,85.7,64,0,10,5,10,11,47,48,17,187.6,11,99.30%
4,Cameron Dicker (LAC),38,41,92.7,59,0,7,14,12,5,34,35,17,170,10,97.20%
5,Cam Little (JAC),30,34,88.2,68,0,5,9,8,8,50,51,17,164,9.6,90.20%
6,Will Reichard (MIN),33,35,94.3,62,0,6,9,7,11,31,31,17,159,9.4,35.90%
7,Chase McLaughlin (TB),32,38,84.2,65,0,6,9,6,11,32,33,17,156,9.2,16.60%
8,Jake Bates (DET),27,34,79.4,59,0,6,8,9,4,54,56,17,152,8.9,65.50%
9,Chris Boswell (PIT),27,32,84.4,60,0,6,2,10,9,42,43,17,151,8.9,33.10%
10,Harrison Butker (KC),33,38,86.8,59,1,9,9,9,5,31,35,17,149,8.8,41.40%
10,Andy Borregales (NE),27,32,84.4,59,2,6,8,7,4,53,55,17,149,8.8,25.70%
12,Tyler Loop (BAL),30,34,88.2,52,0,10,11,8,1,44,46,17,144,8.5,53.70%
13,Eddy Pineiro (SF),28,29,96.6,59,0,5,7,10,6,34,38,14,140,10,62.30%
14,Evan McPherson (CIN),25,28,89.3,63,0,4,6,10,5,41,44,17,136,8,39.20%
15,Joey Slye (TEN),28,35,80,58,0,6,6,7,9,26,27,16,135,8.4,1.10%
16,Wil Lutz (DEN),28,32,87.5,57,0,10,11,3,4,39,39,17,134,7.9,8.10%
17,Cairo Santos (CHI),25,30,83.3,54,0,3,8,10,4,39,39,15,132,8.8,27.50%
17,Riley Patterson (MIA),27,29,93.1,54,0,5,8,11,3,34,35,17,132,7.8,2.40%
19,Chad Ryland (ARI),25,33,75.8,57,0,5,7,7,6,36,36,17,130,7.6,1.20%
20,Blake Grupe (IND),29,37,78.4,60,0,9,10,3,7,25,25,16,129,8.1,1.30%
21,Nick Folk (NYJ),28,29,96.6,58,0,5,9,7,7,22,22,16,127,7.9,3.40%
22,Jake Elliott (PHI),20,27,74.1,58,0,3,6,7,4,41,42,17,116,6.8,8.70%
23,Brandon McManus (GB),24,30,80,56,0,10,8,3,3,32,33,14,113,8.1,0.70%
24,Andre Szmyt (CLE),24,27,88.9,55,0,4,10,5,5,25,26,17,112,6.6,1.00%
25,Ryan Fitzgerald (CAR),24,29,82.8,57,0,6,8,8,2,27,30,17,111,6.5,1.20%
26,Matt Prater (BUF),18,20,90,52,0,4,7,6,1,46,49,15,108,7.2,0.70%
27,Daniel Carlson (LV),22,27,81.5,60,0,5,6,6,5,21,22,17,103,6.1,0.70%
28,Zane Gonzalez (ATL),19,22,86.4,56,0,1,3,8,7,17,18,9,96,10.7,2.00%
29,Matt Gay (SF),17,23,73.9,56,0,4,3,6,4,26,26,12,91,7.6,2.30%
30,Harrison Mevis (LAR),12,13,92.3,52,0,3,3,5,1,39,39,9,82,9.1,70.00%
31,Jake Moody (WAS),19,23,82.6,56,0,5,7,5,2,15,16,9,81,9,1.50%
32,Michael Badgley (BUF),11,12,91.7,53,0,1,3,5,2,20,25,9,62,6.9,1.70%
33,Charlie Smyth (NO),12,16,75,57,0,1,4,3,4,13,13,6,60,10,2.70%
34,Joshua Karty (LAR),10,15,66.7,51,0,3,3,3,1,23,26,8,58,7.3,1.00%
35,Spencer Shrader (IND),13,14,92.9,52,0,5,5,2,1,14,14,5,57,11.4,1.20%
36,Parker Romo (ATL),11,14,78.6,54,0,2,7,1,1,12,13,7,48,6.9,0.60%
37,Graham Gano (NYG),9,10,90,55,0,3,4,1,1,9,9,5,39,7.8,0.60%
38,Younghoe Koo (NYG),6,9,66.7,44,1,1,2,2,0,13,14,6,33,5.5,0.80%
39,Ben Sauls (NYG),8,8,100,45,0,3,4,1,0,7,7,3,32,10.7,0.80%
40,Matthew Wright (HOU),5,5,100,46,0,1,1,3,0,4,4,4,22,5.5,1.00%
40,Lucas Havrisik (GB),4,4,100,61,0,0,2,1,1,7,9,3,22,7.3,2.80%
42,Jude McAtamney (NYG),2,2,100,31,0,1,1,0,0,9,12,4,15,3.8,0.6
