RK,Name,POS,GP,CMP,ATT,CMP%,YDS,AVG,YDS/G,LNG,TD,INT,SACK,SYL,QBR,RTG
1,"Matthew Stafford

LAR",QB,17,388,597,65,"4,707",7.9,276.9,88,46,8,23,150,71.2,109.2
2,"Jared Goff

DET",QB,17,393,578,68,"4,564",7.9,268.5,64,34,8,38,259,57.3,105.5
3,"Dak Prescott

DAL",QB,17,404,600,67.3,"4,552",7.6,267.8,86,30,10,31,208,70.2,99.5
4,"Drake Maye

NE",QB,17,354,492,72,"4,394",8.9,258.5,72,31,8,47,201,77.1,113.5
5,"Sam Darnold

SEA",QB,17,323,477,67.7,"4,048",8.5,238.1,67,25,14,27,186,55.6,99.1
6,"Trevor Lawrence

JAX",QB,17,341,560,60.9,"4,007",7.2,235.7,63,29,12,41,247,58.3,91
7,"Caleb Williams

CHI",QB,17,330,568,58.1,"3,942",6.9,231.9,65,27,7,24,165,58.2,90.1
8,"Bo Nix

DEN",QB,17,388,612,63.4,"3,931",6.4,231.2,52,25,11,22,119,58.3,87.8
9,"Justin Herbert

LAC",QB,16,340,512,66.4,"3,727",7.3,232.9,60,26,13,54,301,60.6,94.1
10,"Baker Mayfield

TB",QB,17,343,543,63.2,"3,693",6.8,217.2,77,26,11,36,234,61.3,90.6
11,"Josh Allen

BUF",QB,17,319,460,69.3,"3,668",8,215.8,54,25,10,40,298,65.4,102.2
12,"Patrick Mahomes

KC",QB,14,315,502,62.7,"3,587",7.1,256.2,61,22,11,34,193,68.5,89.6
13,"Jordan Love

GB",QB,15,291,439,66.3,"3,381",7.7,225.4,59,23,6,21,169,72.7,101.2
14,"Jacoby Brissett

ARI",QB,14,315,485,64.9,"3,366",6.9,240.4,50,23,8,43,288,41.2,94.1
15,"Aaron Rodgers

PIT",QB,16,327,498,65.7,"3,322",6.7,207.6,80,24,7,29,180,44.4,94.8
16,"Jalen Hurts

PHI",QB,16,294,454,64.8,"3,224",7.1,201.5,79,25,6,32,181,55.2,98.5
17,"Cam Ward

TEN",QB,17,323,540,59.8,"3,169",5.9,186.4,47,15,7,55,410,33.2,80.2
18,"Daniel Jones

IND",QB,13,261,384,68,"3,101",8.1,238.5,75,19,8,22,158,63,100.2
19,"C.J. Stroud

HOU",QB,14,273,423,64.5,"3,041",7.2,217.2,75,19,8,23,189,61.7,92.9
20,"Geno Smith

LV",QB,15,302,448,67.4,"3,025",6.8,201.7,61,19,17,55,405,34.1,84.7
21,"Bryce Young

CAR",QB,16,304,478,63.6,"3,011",6.3,188.2,54,23,11,27,202,47.6,87.8
22,"Tua Tagovailoa

MIA",QB,14,260,384,67.7,"2,660",6.9,190,47,20,15,30,195,37.5,88.5
23,"Lamar Jackson

BAL",QB,13,192,302,63.6,"2,549",8.4,196.1,64,21,7,36,239,62.7,103.8
24,"Joe Flacco

CIN/CLE",QB,13,251,416,60.3,"2,479",6,190.7,44,15,10,18,118,41,79.2
25,"Tyler Shough

NO",QB,11,221,327,67.6,"2,384",7.3,216.7,62,10,6,31,195,48.8,91.3
26,"Jaxson Dart

NYG",QB,14,216,339,63.7,"2,272",6.7,162.3,44,15,5,35,152,57.5,91.7
27,"Brock Purdy

SF",QB,9,197,284,69.4,"2,167",7.6,240.8,45,20,10,11,53,72.8,100.5
28,"Mac Jones

SF",QB,11,201,289,69.6,"2,151",7.4,195.5,56,13,6,16,108,62.3,97.4
29,"Michael Penix

 Jr.ATL",QB,9,166,276,60.1,"1,982",7.2,220.2,69,9,3,13,101,57.9,88.5
30,"Joe Burrow

CIN",QB,8,173,259,66.8,"1,809",7,226.1,43,17,5,17,113,63,100.7
31,"Kirk Cousins

ATL",QB,10,166,269,61.7,"1,721",6.4,172.1,49,10,5,13,79,47.6,84.8
32,"Marcus Mariota

WSH",QB,11,139,227,61.2,"1,695",7.5,154.1,56,10,7,16,107,50.2,86.1
33,"J.J. McCarthy

MIN",QB,10,140,243,57.6,"1,632",6.7,163.2,62,11,12,27,149,35.6,72.6
34,"Spencer Rattler

NO",QB,9,174,257,67.7,"1,586",6.2,176.2,87,8,5,18,104,50.3,86.5
35,"Shedeur Sanders

CLE",QB,8,120,212,56.6,"1,400",6.6,175,66,7,10,23,164,18.9,68.1
36,"Jayden Daniels

WSH",QB,7,114,188,60.6,"1,262",6.7,180.3,50,8,3,18,79,44.7,88.1
