RK,Name,POS,GP,ATT,YDS,AVG,LNG,BIG,TD,YDS/G,FUM,LST,FD
1,James Cook IIIBUF,RB,17,309,"1,621",5.2,64,9,12,95.4,6,3,68
2,Derrick HenryBAL,RB,17,307,"1,595",5.2,59,17,16,93.8,4,3,79
3,Jonathan TaylorIND,RB,17,323,"1,585",4.9,83,9,18,93.2,1,1,84
4,Bijan RobinsonATL,RB,17,287,"1,478",5.2,93,8,7,86.9,3,2,63
5,De'Von AchaneMIA,RB,16,238,"1,350",5.7,59,13,8,84.4,1,0,56
6,Kyren WilliamsLAR,RB,17,259,"1,252",4.8,34,6,10,73.6,2,2,74
7,Jahmyr GibbsDET,RB,17,243,"1,223",5,78,10,13,71.9,2,1,56
8,Christian McCaffreySF,RB,17,311,"1,202",3.9,41,3,10,70.7,1,0,71
9,Javonte WilliamsDAL,RB,16,252,"1,201",4.8,66,6,11,75.1,1,1,67
10,Saquon BarkleyPHI,RB,16,280,"1,140",4.1,65,4,7,71.3,0,0,48
11,Travis Etienne Jr.JAX,RB,17,260,"1,107",4.3,71,7,7,65.1,0,0,48
12,D'Andre SwiftCHI,RB,16,223,"1,087",4.9,25,5,9,67.9,2,2,62
13,Tony PollardTEN,RB,17,242,"1,082",4.5,65,6,5,63.6,3,2,48
14,Rico DowdleCAR,RB,17,236,"1,076",4.6,53,5,6,63.3,1,1,51
15,Breece HallNYJ,RB,16,243,"1,065",4.4,59,8,4,66.6,2,2,57
16,Kenneth Walker IIISEA,RB,17,221,"1,027",4.6,55,10,5,60.4,0,0,46
17,Chase BrownCIN,RB,17,232,"1,019",4.4,37,6,6,59.9,1,0,52
18,Ashton JeantyLV,RB,17,266,975,3.7,64,3,5,57.4,1,1,44
19,Jaylen WarrenPIT,RB,16,211,958,4.5,45,6,6,59.9,1,0,52
20,Josh JacobsGB,RB,15,234,929,4,40,3,13,61.9,3,2,55
21,TreVeyon HendersonNE,RB,17,180,911,5.1,69,6,9,53.6,1,1,45
22,Quinshon JudkinsCLE,RB,14,230,827,3.6,46,4,7,59.1,0,0,50
23,Jacory Croskey-MerrittWSH,RB,17,175,805,4.6,72,3,8,47.4,3,2,41
24,Kyle MonangaiCHI,RB,17,169,783,4.6,39,3,5,46.1,0,0,40
25,J.K. DobbinsDEN,RB,10,153,772,5,41,5,4,77.2,0,0,37
26,Jordan MasonMIN,RB,16,159,758,4.8,24,4,6,47.4,2,1,45
27,Blake CorumLAR,RB,17,145,746,5.1,48,5,6,43.9,0,0,44
28,Tyrone Tracy Jr.NYG,RB,15,176,740,4.2,31,3,2,49.3,0,0,39
29,Zach CharbonnetSEA,RB,16,184,730,4,30,5,12,45.6,0,0,48
30,David MontgomeryDET,RB,17,158,716,4.5,72,3,8,42.1,2,1,41
31,Woody MarksHOU,RB,16,196,703,3.6,23,2,2,43.9,1,0,39
32,Kimani VidalLAC,RB,13,155,643,4.1,59,4,3,49.5,1,0,32
33,Kareem HuntKC,RB,17,163,611,3.7,33,1,8,35.9,2,1,55
34,Rhamondre StevensonNE,RB,14,130,603,4.6,56,7,7,43.1,2,2,29
35,Bucky IrvingTB,RB,10,173,588,3.4,32,1,1,58.8,1,1,27
36,Josh AllenBUF,QB,17,112,579,5.2,40,5,14,34.1,6,2,46
37,Rachaad WhiteTB,RB,17,132,572,4.3,39,2,4,33.6,0,0,37
38,Aaron Jones Sr.MIN,RB,12,132,548,4.2,31,1,2,45.7,0,0,28
39,Omarion HamptonLAC,RB,9,124,545,4.4,54,3,4,60.6,0,0,31
40,RJ HarveyDEN,RB,17,146,540,3.7,50,3,7,31.8,1,1,28
41,Kenny GainwellPIT,RB,17,114,537,4.7,55,2,5,31.6,1,0,34
42,Tyler AllgeierATL,RB,17,143,514,3.6,21,1,8,30.2,0,0,36
43,Chuba HubbardCAR,RB,15,134,511,3.8,14,0,1,34.1,1,1,31
44,Nick ChubbHOU,RB,15,122,506,4.1,30,3,3,33.7,0,0,20
45,Chris Rodriguez Jr.WSH,RB,13,112,500,4.5,48,2,6,38.5,0,0,32
46,Justin HerbertLAC,QB,16,83,498,6,41,5,2,31.1,4,1,34
47,Emanuel WilsonGB,RB,17,125,496,4,15,0,3,29.2,0,0,32
48,Jaxson DartNYG,QB,14,86,487,5.7,29,4,9,34.8,3,1,38
49,Alvin KamaraNO,RB,11,131,471,3.6,18,0,1,42.8,1,1,21
50,Isiah PachecoKC,RB,13,118,462,3.9,16,0,1,35.5,0,0,27
51,D. MayeNE,QB,17,103,450,4.4,28,2,4,26.5,2,0,38
52,D. SingletaryNYG,RB,17,119,437,3.7,29,2,5,25.7,0,0,27
53,P. MahomesKC,QB,14,64,422,6.6,22,1,5,30.1,0,0,27
54,J. HurtsPHI,QB,16,105,421,4,29,2,8,26.3,4,2,40
55,C. SkatteboNYG,RB,8,101,410,4.1,24,1,5,51.3,1,1,27
56,B. Robinson Jr.SF,RB,17,92,400,4.3,19,0,2,23.5,0,0,20
57,C. WilliamsCHI,QB,17,77,388,5,29,2,3,22.8,7,0,28
58,J. FieldsNYJ,QB,9,71,383,5.4,43,2,4,42.6,2,2,26
59,B. MayfieldTB,QB,17,55,382,6.9,33,5,1,22.5,3,0,27
59,S. PerineCIN,RB,15,84,382,4.5,32,2,3,25.5,3,2,32
61,T. LawrenceJAX,QB,17,82,359,4.4,21,2,9,21.1,2,1,40
62,B. NixDEN,QB,17,83,356,4.3,25,3,5,20.9,2,1,25
62,T. BigsbyJAX/PHI,RB,17,63,356,5.7,29,2,2,20.9,0,0,18
64,L. JacksonBAL,QB,13,67,349,5.2,19,0,2,26.8,2,0,24
65,K. MitchellBAL,RB,13,59,341,5.8,55,4,1,26.2,1,0,16
66,M. CarterARI,RB,13,92,333,3.6,22,2,1,25.6,0,0,19
67,S. TuckerTB,RB,17,86,320,3.7,43,1,7,18.8,1,0,22
68,E. DemercadoARI,RB,13,44,312,7.1,71,2,0,24,1,1,9
69,B. TutenJAX,RB,15,83,307,3.7,15,0,5,20.5,1,1,23
70,M. MariotaWSH,QB,11,50,297,5.9,44,4,1,27,3,2,12
71,J. WrightMIA,RB,10,70,288,4.1,32,1,2,28.8,2,1,17
72,T. SpearsTEN,RB,13,72,283,3.9,41,2,2,21.8,0,0,16
73,J. DanielsWSH,QB,7,58,278,4.8,18,0,2,39.7,1,1,14
74,R. DavisBUF,RB,17,58,275,4.7,23,1,0,16.2,0,0,15
75,B. KnightARI,RB,12,82,269,3.3,17,0,4,22.4,1,1,21
76,M. DavisDAL,RB,10,52,250,4.8,43,3,2,25,0,0,11
77,I. DavisNYJ,RB,16,43,236,5.5,50,2,1,14.8,0,0,7
78,J. McNicholsWSH,RB,17,44,221,5,60,1,1,13,1,1,13
79,B. YoungCAR,QB,16,54,216,4,24,2,2,13.5,3,2,16
80,C.J. StroudHOU,QB,14,48,209,4.4,30,1,1,14.9,2,0,18
81,D. NealNO,RB,10,57,206,3.6,21,1,2,20.6,0,0,11
82,T. JohnsonBUF,RB,17,50,200,4,23,1,3,11.8,0,0,13
83,J. LoveGB,QB,15,47,199,4.2,25,2,0,13.3,3,0,14
83,O. Gordon IIMIA,RB,17,70,199,2.8,20,1,3,11.7,0,0,21
85,A. EstimeNO,RB,7,46,198,4.3,32,1,1,28.3,0,0,12
86,J. JordanHOU,RB,4,43,193,4.5,50,1,0,48.3,0,0,8
86,K. MillerNO,RB,7,47,193,4.1,18,0,1,27.6,0,0,9
88,J. McLaughlinDEN,RB,8,37,187,5.1,16,0,1,23.4,0,0,8
89,T. ShoughNO,QB,11,45,186,4.1,34,2,3,16.9,1,1,11
90,J.J. McCarthyMIN,QB,10,37,181,4.9,26,1,4,18.1,3,0,12
91,D. PrescottDAL,QB,17,53,177,3.3,14,0,2,10.4,4,1,15
92,D. SampsonCLE,RB,15,65,175,2.7,26,1,0,11.7,0,0,12
