RK,Name,POS,GP,REC,TGTS,YDS,AVG,TD,LNG,BIG,YDS/G,FUM,LST,YAC,FD
1,Jaxon Smith-NjigbaSEA,WR,17,119,163,"1,793",15.1,10,63,27,105.5,3,1,528,79
2,Puka NacuaLAR,WR,16,129,166,"1,715",13.3,10,58,27,107.2,1,1,666,80
3,George PickensDAL,WR,17,93,137,"1,429",15.4,9,45,22,84.1,4,0,479,73
4,Ja'Marr ChaseCIN,WR,16,125,185,"1,412",11.3,8,64,15,88.3,1,1,640,73
5,Amon-Ra St. BrownDET,WR,17,117,172,"1,401",12,11,52,19,82.4,1,0,570,71
6,Trey McBrideARI,TE,17,126,169,"1,239",9.8,11,31,12,72.9,0,0,583,63
7,Zay FlowersBAL,WR,17,86,118,"1,211",14.1,5,64,19,71.2,3,3,458,48
8,Chris OlaveNO,WR,16,100,156,"1,163",11.6,9,62,11,72.7,0,0,289,53
9,Nico CollinsHOU,WR,15,71,120,"1,117",15.7,6,57,18,74.5,1,1,324,48
9,Jameson WilliamsDET,WR,17,65,102,"1,117",17.2,7,64,23,65.7,0,0,441,49
11,CeeDee LambDAL,WR,14,75,117,"1,077",14.4,3,74,16,76.9,0,0,323,43
12,Justin JeffersonMIN,WR,17,84,141,"1,048",12.5,2,50,12,61.6,0,0,451,47
13,Courtland SuttonDEN,WR,17,74,124,"1,017",13.7,7,52,17,59.8,0,0,222,52
14,Wan'Dale RobinsonNYG,WR,16,92,140,"1,014",11,4,50,14,63.4,1,0,386,39
14,Tetairoa McMillanCAR,WR,17,70,122,"1,014",14.5,7,43,17,59.6,1,1,269,55
16,Stefon DiggsNE,WR,17,85,102,"1,013",11.9,4,34,17,59.6,0,0,354,51
17,DeVonta SmithPHI,WR,17,77,113,"1,008",13.1,4,79,14,59.3,0,0,293,44
18,Michael WilsonARI,WR,17,78,126,"1,006",12.9,7,50,14,59.2,0,0,273,51
19,A.J. BrownPHI,WR,15,78,121,"1,003",12.9,7,45,14,66.9,0,0,268,47
19,Alec PierceIND,WR,15,47,84,"1,003",21.3,6,66,17,66.9,0,0,174,41
21,Emeka EgbukaTB,WR,17,63,127,938,14.9,6,77,20,55.2,0,0,335,34
22,Kyle Pitts Sr.ATL,TE,17,88,118,928,10.5,5,36,12,54.6,0,0,400,51
23,Christian McCaffreySF,RB,17,102,129,924,9.1,7,39,7,54.4,1,0,720,49
24,Drake LondonATL,WR,12,68,112,919,13.5,7,43,13,76.6,1,1,229,46
25,Jaylen WaddleMIA,WR,16,64,100,910,14.2,6,46,14,56.9,1,0,228,48
26,Juwan JohnsonNO,TE,17,77,102,889,11.5,3,52,11,52.3,2,2,362,41
27,Travis KelceKC,TE,17,76,108,851,11.2,5,44,9,50.1,1,0,424,46
28,DK MetcalfPIT,WR,15,59,99,850,14.4,6,80,15,56.7,0,0,414,37
29,Parker WashingtonJAX,WR,16,58,95,847,14.6,5,63,17,52.9,0,0,265,37
30,Tee HigginsCIN,WR,15,59,98,846,14.3,11,44,14,56.4,0,0,166,41
31,Jakobi MeyersLV/JAX,WR,16,75,110,835,11.1,3,50,10,52.2,1,1,282,43
32,Bijan RobinsonATL,RB,17,79,103,820,10.4,4,69,10,48.2,1,1,857,34
33,Tyler WarrenIND,TE,17,76,112,817,10.8,4,41,10,48.1,0,0,474,42
34,Davante AdamsLAR,WR,14,60,114,789,13.1,14,44,14,56.4,0,0,117,51
34,Ladd McConkeyLAC,WR,16,66,106,789,12,6,58,8,49.3,0,0,310,35
36,Michael Pittman Jr.IND,WR,17,80,111,784,9.8,7,27,5,46.1,0,0,259,47
37,Keenan AllenLAC,WR,17,81,122,777,9.6,4,31,6,45.7,2,0,231,49
37,Dalton SchultzHOU,TE,17,82,106,777,9.5,3,47,5,45.7,1,0,358,39
39,Hunter HenryNE,TE,17,60,87,768,12.8,7,36,11,45.2,0,0,335,42
40,Quentin JohnstonLAC,WR,14,51,85,735,14.4,8,60,13,52.5,1,1,221,27
41,Harold Fannin Jr.CLE,TE,16,72,107,731,10.2,6,35,8,45.7,0,0,352,32
42,Deebo Samuel Sr.WSH,WR,16,72,99,727,10.1,5,41,10,45.4,1,0,466,32
43,Romeo DoubsGB,WR,16,55,85,724,13.2,6,48,12,45.3,1,0,163,41
44,Khalil ShakirBUF,WR,16,72,95,719,10,4,54,8,44.9,1,1,541,29
45,Colston LovelandCHI,TE,16,58,82,713,12.3,6,58,10,44.6,0,0,250,35
46,Troy FranklinDEN,WR,17,65,104,709,10.9,6,48,9,41.7,1,1,282,32
47,Brian Thomas Jr.JAX,WR,14,48,91,707,14.7,2,46,11,50.5,0,0,159,33
