Season,Rank,Player,TACKLE,ASSIST,SACK,TFL,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
2025,1,Myles Garrett (CLE),43,17,23,33,1,0,3,0,0,17,265.5,15.6,86.10%
2025,2,Brian Burns (NYG),39,28,16.5,22,7,0,3,1,0,17,227.4,13.4,65.30%
2025,3,Maxx Crosby (LV),45,28,10,28,6,1,2,0,0,15,220.9,14.7,77.80%
2025,4,Will Anderson Jr. (HOU),35,19,12,20,3,0,3,2,1,17,195.5,11.5,66.40%
2025,5,Aidan Hutchinson (DET),36,18,14.5,14,3,1,4,1,0,17,190.3,11.2,71.70%
2025,6,Jeffery Simmons (TEN),39,28,11,17,3,0,3,0,0,15,183.1,12.2,66.30%
2025,7,Danielle Hunter (HOU),28,26,15,15,3,0,3,1,0,17,179.8,10.6,49.00%
2025,8,Byron Young (LAR),45,37,12,12,0,0,1,0,0,17,177.7,10.5,36.50%
2025,9,Tuli Tuipulotu (LAC),33,12,13,20,3,0,2,1,0,16,177.4,11.1,39.70%
2025,10,Montez Sweat (CHI),36,17,10,13,5,0,3,1,0,17,163.1,9.6,19.90%
2025,11,Nik Bonitto (DEN),31,15,14,14,1,0,2,0,0,17,158.7,9.3,45.10%
2025,12,Cameron Jordan (NO),32,15,10.5,15,2,0,2,1,0,17,154.1,9.1,4.60%
2025,13,Jared Verse (LAR),35,24,7.5,11,1,0,3,0,0,17,148,8.7,46.60%
2025,14,Dallas Turner (MIN),27,35,8,11,3,0,4,0,0,17,147.3,8.7,30.40%
2025,15,DeMarcus Lawrence (SEA),24,29,6,11,1,0,3,3,2,16,147.1,9.2,14.70%
2025,16,Jalen Redmond (MIN),33,29,6,12,5,0,1,2,0,17,145.2,8.5,12.30%
2025,17,Chase Young (NO),22,16,10,11,4,0,2,3,1,12,144.8,12.1,17.60%
2025,18,Laiatu Latu (IND),27,18,8.5,12,5,3,1,0,0,16,144.7,9,18.50%
2025,19,Josh Sweat (ARI),20,10,12,13,2,0,4,1,0,17,141.5,8.3,9.50%
2025,20,Cameron Heyward (PIT),38,40,3.5,9,6,0,1,0,0,17,137,8.1,17.00%
2025,21,Jordan Davis (PHI),34,38,4.5,9,6,0,0,0,0,17,135.4,8,10.60%
