Season,Rank,Player,TGT,TGT %,REC,YDS,Y/R,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
2025,1,Puka Nacua (LAR),166,28.6,129,"1,715",13.3,27,10,10,105,1,1,16,246,15.4,99.70%
2025,2,Jaxon Smith-Njigba (SEA),163,36,119,"1,793",15.1,27,10,7,36,0,1,17,240.9,14.2,99.70%
2025,3,Amon-Ra St. Brown (DET),172,31.4,117,"1,401",12,19,11,3,9,0,0,17,207,12.2,99.60%
2025,4,George Pickens (DAL),137,22.7,93,"1,429",15.4,22,9,0,0,0,0,17,198.9,11.7,99.30%
2025,5,Ja'Marr Chase (CIN),185,30.2,125,"1,412",11.3,15,8,3,14,0,1,16,188.6,11.8,99.70%
2025,6,Chris Olave (NO),156,27.7,100,"1,163",11.6,11,9,1,-3,0,0,16,169,10.6,98.10%
2025,7,Davante Adams (LAR),114,19.6,60,789,13.2,14,14,0,0,0,0,14,162.9,11.6,96.10%
2025,8,Zay Flowers (BAL),118,28.9,86,"1,211",14.1,19,5,10,62,1,3,17,157.3,9.3,98.00%
2025,9,Nico Collins (HOU),120,21.5,71,"1,117",15.7,18,6,2,15,1,1,15,155.2,10.3,99.40%
2025,10,Jameson Williams (DET),102,18.5,65,"1,117",17.2,23,7,6,12,0,0,17,154.9,9.1,93.10%
2025,11,Tee Higgins (CIN),98,16.1,59,846,14.3,14,11,0,0,0,0,15,152.6,10.2,96.90%
2025,12,Courtland Sutton (DEN),124,21.1,74,"1,017",13.7,17,7,0,0,0,0,17,145.7,8.6,86.80%
2025,13,Michael Wilson (ARI),126,20.1,78,"1,006",12.9,14,7,0,0,0,0,17,142.6,8.4,83.50%
2025,14,A.J. Brown (PHI),121,26,78,"1,003",12.9,14,7,0,0,0,0,15,142.3,9.5,99.30%
2025,15,Tetairoa McMillan (CAR),122,25.6,70,"1,014",14.5,17,7,0,0,0,1,17,141.4,8.3,97.70%
2025,16,Alec Pierce (IND),84,15.8,47,"1,003",21.3,17,6,0,0,0,0,15,136.3,9.1,83.80%
2025,17,Drake London (ATL),112,21.4,68,919,13.5,13,7,0,0,0,1,12,133.9,11.2,99.10%
2025,18,Emeka Egbuka (TB),127,23.7,63,938,14.9,20,6,2,9,0,0,17,132.7,7.8,97.20%
2025,19,Jaylen Waddle (MIA),100,21.8,64,910,14.2,14,6,2,28,0,0,16,130.1,8.1,95.90%
2025,20,DK Metcalf (PIT),99,19,59,850,14.4,15,6,2,12,1,0,15,128.2,8.5,89.10%
2025,21,Parker Washington (JAC),95,17.1,58,847,14.6,17,5,7,0,0,0,16,126.7,7.9,85.80%
2025,22,CeeDee Lamb (DAL),117,19.2,75,"1,077",14.4,16,3,1,2,0,0,14,125.9,9,99.40%
2025,22,Wan'Dale Robinson (NYG),140,28,92,"1,014",11,14,4,3,5,0,0,16,125.9,7.9,70.70%
2025,24,Stefon Diggs (NE),102,21.1,85,"1,013",11.9,17,4,0,0,0,0,17,125.3,7.4,74.50%
2025,25,DeVonta Smith (PHI),113,24.3,77,"1,008",13.1,14,4,0,0,0,0,17,124.8,7.3,98.20%
2025,26,Michael Pittman Jr. (IND),111,21,80,784,9.8,5,7,0,0,0,0,17,122.4,7.2,82.30%
2025,27,DJ Moore (CHI),85,15.8,50,682,13.6,12,6,15,79,1,1,17,120.2,7.1,93.40%
2025,27,Quentin Johnston (LAC),85,15.9,51,735,14.4,13,8,2,7,0,1,14,120.2,8.6,76.10%
2025,29,Jauan Jennings (SF),90,16.3,55,643,11.7,9,9,0,0,0,1,15,118.3,7.9,26.20%
2025,30,Justin Jefferson (MIN),141,30.4,84,"1,048",12.5,12,2,2,7,0,0,17,117.5,6.9,99.40%
2025,31,Deebo Samuel Sr. (WAS),99,23.2,72,727,10.1,10,5,17,75,1,0,16,116.2,7.3,58.90%
2025,32,Ladd McConkey (LAC),106,19.7,66,789,12,8,6,0,0,0,0,16,114.9,7.2,96.40%
2025,33,Troy Franklin (DEN),104,17.9,65,709,10.9,9,6,5,12,0,1,17,112.1,6.6,7.00%
2025,34,Romeo Doubs (GB),85,18.6,55,724,13.2,12,6,0,0,0,0,16,110.4,6.9,57.00%
2025,35,Tre Tucker (LV),92,18.4,57,696,12.2,9,5,11,51,0,0,17,104.7,6.2,19.50%
2025,36,Rome Odunze (CHI),90,16.9,44,661,15,13,6,0,0,0,0,12,102.1,8.5,92.10%
2025,37,Keenan Allen (LAC),122,22.6,81,777,9.6,6,4,0,0,0,0,17,101.7,6,18.00%
2025,38,Jakobi Meyers (JAC),110,20.9,75,835,11.1,10,3,5,13,0,1,16,100.8,6.3,73.20%
2025,39,Rashid Shaheed (SEA),92,17.4,59,687,11.6,6,2,9,69,0,1,18,97.6,5.4,42.80%
2025,40,Christian Watson (GB),55,12.1,35,611,17.5,11,6,1,3,0,0,10,97.4,9.7,88.80%
2025,41,Rashee Rice (KC),78,14.2,53,571,10.8,9,5,5,20,1,0,8,97.1,12.1,98.70%
2025,42,Khalil Shakir (BUF),95,19.7,72,719,10,8,4,1,5,0,1,16,94.4,5.9,59.00%
2025,43,Jordan Addison (MIN),79,16.9,42,610,14.5,11,3,2,81,1,0,14,93.1,6.6,78.90%
2025,44,Kayshon Boutte (NE),46,9.3,33,551,16.7,10,6,0,0,0,0,14,91.1,6.5,14.40%
2025,45,Brian Thomas Jr. (JAC),91,16.6,48,707,14.7,11,2,3,21,1,0,14,90.8,6.5,86.80%
2025,46,Hollywood Brown (KC),74,13.4,49,587,12,7,5,0,0,0,0,16,88.7,5.5,2.90%
2025,47,Jayden Higgins (HOU),68,12.2,41,525,12.8,5,6,0,0,0,0,17,88.5,5.2,34.40%
2025,48,Marvin Harrison Jr. (ARI),73,11.8,41,608,14.8,9,4,0,0,0,0,12,86.8,7.2,88.40%
2025,49,Luther Burden III (CHI),60,11.4,47,652,13.9,11,2,6,37,0,0,15,80.9,5.4,92.90%
2025,50,Josh Downs (IND),88,16.5,58,566,9.8,4,4,2,-2,0,1,16,78.4,4.9,78.10%
2024,1,Ja'Marr Chase (CIN),175,28.2,127,"1,708",13.4,19,17,3,32,0,0,17,276,16.2,99.70%
2024,2,Justin Jefferson (MIN),154,29.5,103,"1,533",14.9,28,10,1,3,0,0,17,214.5,12.6,99.40%
2024,3,Amon-Ra St. Brown (DET),141,27,115,"1,263",11,14,12,2,6,0,1,17,201.2,11.8,99.60%
2024,4,Brian Thomas Jr. (JAC),133,25.5,87,"1,282",14.7,18,10,6,48,0,0,17,197,11.6,86.80%
2024,5,Terry McLaurin (WAS),117,23.4,82,"1,096",13.4,12,13,2,2,0,1,17,185.8,10.9,93.90%
2024,6,Drake London (ATL),158,29.5,100,"1,271",12.7,12,9,1,-3,0,0,17,180.8,10.6,99.10%
2024,7,Mike Evans (TB),110,19.6,74,"1,004",13.6,15,11,0,0,0,0,14,166.4,11.9,90.50%
2024,8,Malik Nabers (NYG),170,30.4,109,"1,204",11,16,7,5,2,0,0,15,164.6,11,98.50%
2024,9,CeeDee Lamb (DAL),152,24.4,101,"1,194",11.8,16,6,14,70,0,1,15,162.4,10.8,99.40%
2024,10,Courtland Sutton (DEN),135,24.4,81,"1,081",13.3,17,8,0,0,0,1,17,159.3,9.4,86.80%
2024,11,Ladd McConkey (LAC),112,22.7,82,"1,149",14,15,7,0,0,0,0,16,158.9,9.9,96.40%
2024,12,Davante Adams (NYJ),141,23.8,85,"1,063",12.5,16,8,0,0,0,0,14,156.3,11.2,96.10%
2024,13,Jameson Williams (DET),91,17.4,58,"1,001",17.3,17,7,11,61,1,0,15,154.2,10.3,93.10%
2024,14,Jaxon Smith-Njigba (SEA),137,24.1,100,"1,130",11.3,14,6,5,26,0,0,17,153,9,99.70%
2024,15,Jerry Jeudy (CLE),145,22.8,90,"1,229",13.7,13,4,0,0,0,0,17,150.9,8.9,27.60%
2024,15,Garrett Wilson (NYJ),154,26.2,101,"1,104",10.9,16,7,2,5,0,2,17,150.9,8.9,96.70%
2024,17,A.J. Brown (PHI),97,23.3,67,"1,079",16.1,17,7,0,0,0,0,13,149.9,11.5,99.30%
2024,18,Jordan Addison (MIN),99,19.1,63,875,13.9,13,9,3,20,1,0,15,149.5,10,78.90%
2024,19,Tee Higgins (CIN),109,17.5,73,911,12.5,12,10,0,0,0,1,12,149.1,12.4,96.90%
2024,20,Nico Collins (HOU),99,18,68,"1,006",14.8,14,7,0,0,0,0,12,142.6,11.9,99.40%
2024,21,Jayden Reed (GB),75,16.1,55,857,15.6,15,6,20,163,1,1,17,142,8.4,75.40%
2024,22,DJ Moore (CHI),140,26.3,98,966,9.9,11,6,14,75,0,1,17,140.1,8.2,93.40%
2024,23,Tyreek Hill (MIA),123,21.8,81,959,11.8,13,6,8,53,0,0,17,137.2,8.1,16.00%
2024,24,Zay Flowers (BAL),116,25.3,74,"1,059",14.3,19,4,9,56,0,0,17,135.5,8,98.00%
2024,25,Calvin Ridley (TEN),120,24,64,"1,017",15.9,19,4,8,55,1,1,17,135.2,8,13.60%
2024,26,Marvin Harrison Jr. (ARI),116,21.9,62,885,14.3,14,8,0,0,0,1,17,134.5,7.9,88.40%
2024,27,Jauan Jennings (SF),113,22.1,77,975,12.7,12,6,0,0,0,0,15,133.5,8.9,26.20%
2024,28,DeVonta Smith (PHI),89,21.3,68,833,12.3,14,8,1,1,0,0,13,131.4,10.1,98.20%
2024,29,Jakobi Meyers (LV),129,21.7,87,"1,027",11.8,16,4,2,23,0,0,15,131,8.7,73.20%
2024,30,Rashod Bateman (BAL),72,16.1,45,756,16.8,11,9,0,0,0,0,17,129.6,7.6,7.10%
2024,31,Darnell Mooney (ATL),106,19.7,64,992,15.5,21,5,0,0,0,0,16,129.2,8.1,10.20%
2024,32,Xavier Worthy (KC),98,17.3,59,638,10.8,4,6,20,104,3,0,17,128.2,7.5,63.40%
2024,33,Puka Nacua (LAR),106,19.7,79,990,12.5,11,3,11,46,1,0,11,127.6,11.6,99.70%
2024,34,DK Metcalf (SEA),108,19,66,992,15,20,5,0,0,0,2,15,125.2,8.3,89.10%
2024,35,Alec Pierce (IND),69,13.8,37,824,22.3,13,7,0,0,0,0,16,124.4,7.8,83.80%
2024,36,Quentin Johnston (LAC),91,18.4,55,711,12.9,12,8,3,6,0,0,15,119.7,8,76.10%
2024,37,Keenan Allen (CHI),121,22.8,70,744,10.6,9,7,0,0,0,0,15,115.4,7.7,18.00%
2024,38,Josh Downs (IND),107,21.4,72,803,11.2,10,5,1,12,0,0,14,111.5,8,78.10%
2024,39,Cooper Kupp (LAR),100,18.6,67,710,10.6,10,6,2,10,0,0,12,108,9,13.70%
2024,40,Khalil Shakir (BUF),100,20,76,821,10.8,9,4,2,4,0,0,15,106.5,7.1,59.00%
2024,41,George Pickens (PIT),103,22.3,59,900,15.3,17,3,2,-6,0,1,14,105.4,7.5,99.30%
2024,42,Nick Westbrook-Ikhine (TEN),60,12,32,497,15.5,4,9,0,0,0,0,14,103.7,7.4,0.70%
2024,43,Jalen Tolbert (DAL),79,12.7,49,610,12.4,8,7,0,0,0,0,17,103,6.1,2.90%
2024,44,Deebo Samuel Sr. (SF),81,16.1,51,670,13.1,10,3,42,136,1,1,15,102.6,6.8,58.90%
2024,45,Jalen McMillan (TB),58,10.3,37,461,12.5,8,8,4,43,0,0,13,98.4,7.6,23.00%
2024,46,Michael Pittman Jr. (IND),111,22.2,69,808,11.7,12,3,0,0,0,1,16,96.8,6.1,82.30%
2024,47,Demarcus Robinson (LAR),64,12,31,505,16.3,9,7,0,0,0,0,17,92.5,5.4,0.80%
2024,48,Jaylen Waddle (MIA),83,14.9,58,744,12.8,12,2,4,12,0,0,16,91.6,5.7,95.90%
2024,49,Adam Thielen (CAR),62,12.2,48,615,12.8,9,5,0,0,0,0,10,91.5,9.2,3.50%
2024,50,DeAndre Hopkins (KC),80,14.7,56,610,10.9,6,5,0,0,0,0,16,91,5.7,0.60%
2023,1,CeeDee Lamb (DAL),181,30,135,"1,749",13,29,12,14,113,2,2,17,268.2,15.8,99.40%
2023,2,Tyreek Hill (MIA),171,31.1,119,"1,799",15.1,29,13,6,15,0,1,16,257.4,16.1,16.00%
2023,3,Amon-Ra St. Brown (DET),164,28.8,119,"1,515",12.7,24,10,4,24,0,1,16,211.9,13.2,99.60%
2023,4,Mike Evans (TB),136,24.7,79,"1,255",15.9,20,13,0,0,0,0,17,203.5,12,90.50%
2023,5,Puka Nacua (LAR),160,29,105,"1,486",14.2,25,6,12,89,0,0,17,193.5,11.4,99.70%
2023,6,DJ Moore (CHI),136,28.7,96,"1,364",14.2,25,8,4,21,1,1,17,190.5,11.2,93.40%
2023,7,Deebo Samuel Sr. (SF),89,18.6,60,892,14.9,15,7,37,225,5,0,15,183.7,12.2,58.90%
2023,8,A.J. Brown (PHI),158,30.2,106,"1,456",13.7,21,7,0,0,0,2,17,183.6,10.8,99.30%
2023,9,Nico Collins (HOU),109,19.3,80,"1,297",16.2,25,8,1,7,0,0,15,180.4,12,99.40%
2023,10,Brandon Aiyuk (SF),105,22.3,75,"1,342",17.9,28,7,0,0,0,1,16,174.2,10.9,12.50%
2023,11,Keenan Allen (LAC),150,24.6,108,"1,243",11.5,19,7,2,6,0,1,13,170.9,13.1,18.00%
2023,12,Stefon Diggs (BUF),160,29.4,107,"1,183",11.1,10,8,1,5,0,1,17,166.8,9.8,74.50%
2023,13,Ja'Marr Chase (CIN),145,24.5,100,"1,216",12.2,14,7,3,-6,0,0,16,162.7,10.2,99.70%
2023,14,Davante Adams (LV),175,32.9,103,"1,144",11.1,13,8,0,0,0,0,17,162.4,9.6,96.10%
2023,15,DK Metcalf (SEA),119,21.7,66,"1,114",16.9,19,8,0,0,0,0,16,159.4,10,89.10%
2023,16,Amari Cooper (CLE),128,21.1,72,"1,250",17.4,21,5,0,0,0,1,15,155,10.3,1.10%
2023,17,Calvin Ridley (JAC),136,22.3,76,"1,016",13.4,17,8,9,23,0,0,17,153.9,9.1,13.60%
2023,18,Jayden Reed (GB),94,16.7,64,793,12.4,13,8,11,119,2,0,16,153.2,9.6,75.40%
2023,19,Jordan Addison (MIN),108,18,70,911,13,15,10,1,2,0,0,17,151.3,8.9,78.90%
2023,20,DeAndre Hopkins (TEN),137,29,75,"1,057",14.1,15,7,2,9,0,0,17,148.6,8.7,0.60%
2023,21,Jakobi Meyers (LV),106,19.9,71,807,11.4,8,8,4,24,2,0,16,147.6,9.2,73.20%
2023,22,DeVonta Smith (PHI),112,21.6,81,"1,066",13.2,14,7,0,0,0,1,16,146.6,9.2,98.20%
2023,23,George Pickens (PIT),106,21.6,63,"1,140",18.1,22,5,3,18,0,0,17,145.8,8.6,99.30%
2023,24,Chris Olave (NO),138,23.9,87,"1,123",12.9,16,5,0,0,0,0,16,144.3,9,98.10%
2023,25,Michael Pittman Jr. (IND),156,28.6,109,"1,152",10.6,10,4,0,0,0,1,16,141.2,8.8,82.30%
2023,26,Justin Jefferson (MIN),100,16.6,68,"1,074",15.8,25,5,1,-12,0,1,10,134.2,13.4,99.40%
